0_datetime,1_Pickup11,2_Fuel_eff,3_ME_tot_FL,4_Nav_02,5_Nav_03,6_Nav_04,7_Fuel_Index,8_MSB0-TOT-LOD,9_MS114,10_MW014,11_Trim_in_meters,12_LIST,13_ballast,14_ECDIS_COG,15_Uwind,16_Vwind,17_Gust,18_Significant_wave_height,19_Wave_direction,20_Wave_period,21_struja_smjer_deg,22_struja_brzina,23_sea,24_swell,25_wind,26_wind_deg_ecdis,27_Prop_slip
12/31/2016 15:19,58.2205029,181.6860465,759.6899225,0.522243714,178.7234043,4.236641221,61.14503817,1570.599613,27.99198674,15.84139265,-0.05019305,-0.142746615,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:25,56.97706549,163.6904762,635.1052049,0.522243714,178.7234043,4.236641221,49.2693566,1570.599613,28.07156673,15.65902183,-0.203530061,-0.319148936,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:30,44.04531639,177.2563677,299.5570321,0.522243714,178.7234043,4.236641221,30.94874591,1565.625864,28.07156673,15.60928433,-0.134031991,-0.193589389,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:35,39.32025421,184.754522,242.8940568,0.522243714,178.7234043,4.236641221,29.08396947,1558.994197,27.98452611,15.60928433,-0.061776062,-0.119019987,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:40,44.29400387,175.3875969,356.5891473,0.522243714,178.7234043,4.236641221,36.87022901,1558.994197,27.98452611,15.78336557,-0.035300607,-0.164410058,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:45,61.99226306,178.7790698,879.8449612,0.522243714,178.7234043,4.236641221,67.09923664,1562.31003,27.98452611,15.67560099,-0.1003861,-0.12417795,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:54,70.48908538,171.0271318,1172.203765,0.522243714,178.7234043,4.236641221,76.16793893,1559.546836,27.98452611,15.72533849,-0.291781577,-0.285548494,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 15:59,71.48383531,169.5736434,1145.625692,0.522243714,178.7234043,4.236641221,76.16793893,1530.809616,27.93230174,15.43520309,-0.295091009,-0.26344294,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:04,65.95744681,169.5736434,771.3178295,0.522243714,178.7234043,4.236641221,55.25627045,1547.388781,28.01934236,15.43520309,-0.281853282,-0.207736944,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
12/31/2016 16:12,64.60348162,168.120155,879.8449612,0.522243714,178.7234043,4.236641221,65.19083969,1539.651838,28.12876485,15.41586074,-0.313292885,-0.300580271,ballast,333.2,-6.613541,-0.7858887,9.778484,1.262661,61.28676,5.518824,42.85623943,0.066160791,1,0,2,44.9,d
